title,author,length
A Dance with Dragons,George R.R. Martin,Duración: 48 h y 55 m
"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Duración: 8 h y 49 m
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),J.K. Rowling,Duración: 20 h y 54 m
The Housemaid's Secret,Freida McFadden,Duración: 9 h y 44 m
The Demon of Unrest,Erik Larson,Duración: 17 h y 18 m
A Court of Frost and Starlight (Dramatized Adaptation),Sarah J. Maas,Duración: 5 h y 33 m
Heaven's River,Dennis E. Taylor,Duración: 16 h y 57 m
"Nature's Symphony of Soothing Sounds of Oceans, Rivers, & Rain for Relaxation & Sleep",Cedar Skye,Duración: 8 h y 50 m
Funny Story,Emily Henry,Duración: 11 h y 23 m
Tsalmoth,Steven Brust,Duración: 9 h y 49 m
Think and Grow Rich,Napoleon Hill,Duración: 10 h y 1 m
By the Sword: A World Conquest Isekai,J. V. Simms,Duración: 15 h y 35 m
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Duración: 8 h y 26 m
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,Duración: 4 h y 46 m
Knot Her Goal,Ari Wright,Duración: 12 h y 1 m
Dr. Aster,Raylin Marks,Duración: 16 h y 15 m
Iron Flame,Rebecca Yarros,Duración: 28 h y 16 m
Feral Outbreak: Oblivion,Sean Liscom,Duración: 10 h y 7 m
Remarkably Bright Creatures,Shelby Van Pelt,Duración: 11 h y 16 m
Inner Child Healing for Insecure Hearts,Krista Cantell,Duración: 4 h y 6 m
Hard to Kill,"James Patterson,Mike Lupica",Duración: 8 h y 55 m
Project Hail Mary,Andy Weir,Duración: 16 h y 10 m
Managing the Professional Service Firm,David H. Maister,Duración: 13 h y 27 m
Restless Stars,"Caroline Peckham,Susanne Valenti",Duración: 34 h y 26 m
True Believer,Jack Carr,Duración: 15 h y 44 m
The Undomestic Goddess,Sophie Kinsella,Duración: 11 h y 49 m
The Search,Nora Roberts,Duración: 14 h y 54 m
Harry Potter and the Prisoner of Azkaban (Narrated by Stephen Fry),J.K. Rowling,Duración: 12 h y 3 m
The Heaven & Earth Grocery Store,James McBride,Duración: 12 h y 21 m
Twisted Lies,Ana Huang,Duración: 16 h y 23 m
Ready Player One,Ernest Cline,Duración: 15 h y 40 m
Never Finished,David Goggins,Duración: 11 h y 6 m
The Echo on the Water,JA Huss,Duración: 9 h y 22 m
Progressively Worse,Joe Concha,Duración: 8 h y 2 m
The Book of Enoch,Enoch,Duración: 4 h y 27 m
Tom Lake,Ann Patchett,Duración: 11 h y 22 m
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Duración: 65 h y 31 m
Savage Son,Jack Carr,Duración: 12 h y 56 m
A Feast for Crows,George R.R. Martin,Duración: 33 h y 51 m
Nexus,Yuval Noah Harari,Duración: Aún no se conoce
The Assassin's Blade,Sarah J. Maas,Duración: 12 h y 52 m
How to Win Friends & Influence People,Dale Carnegie,Duración: 7 h y 15 m
Paranormal Activity,Paramount Pictures,Duración: 4 h y 43 m
Unintended Cultivator: Volume 3,Eric Dontigney,Duración: 13 h y 47 m
Fae and Fare,pirateaba,Duración: 61 h y 4 m
Milton Friedman on Economics,"Milton Friedman,Gary S. Becker -afterword by",Duración: 7 h y 26 m
The Most,Jessica Anthony,Duración: 3 h y 37 m
Ember,"Brian Andrews,Jeffrey Wilson",Duración: 13 h y 57 m
Wrath of Iron,Chris Wraight,Duración: 12 h y 29 m
Red Tithe,Robbie MacNiven,Duración: 9 h y 48 m
Becoming the Godking,Andrew Karevik,Duración: 12 h y 16 m
Spare,Prince Harry The Duke of Sussex,Duración: 15 h y 39 m
Never Have I Ever,Joshilyn Jackson,Duración: 13 h y 22 m
The Pucking Coach's Daughter,S. Massery,Duración: 15 h y 19 m
Extreme Ownership,"Jocko Willink,Leif Babin",Duración: 9 h y 33 m
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Duración: 25 h y 18 m
Primal Mirror,Nalini Singh,Duración: 12 h y 42 m
Freed,E. L. James,Duración: 27 h y 15 m
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Duración: 8 h y 22 m
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Duración: 12 h y 10 m
Breaking Hailey,I. A. Dice,Duración: 12 h y 55 m
Burning the Midnight Oil,Ashley James,Duración: 9 h y 42 m
Mind over Markets (Updated Edition),"James F. Dalton,Eric T. Jones,Robert B. Dalton",Duración: 8 h y 41 m
Murder at an English Séance,Jessica Ellicott,Duración: 9 h y 30 m
Leather & Lark,Brynne Weaver,Duración: 12 h y 15 m
Bad River,Marc Cameron,Duración: 12 h y 54 m
A Trial of Innocents,Michael Swiger,Duración: 7 h y 6 m
Prince of Agony,Tavia Lark,Duración: 8 h y 12 m
"Low Love, Low Fidelity",Love Belvin,Duración: 12 h y 30 m
Reign of a Billionaire,Eva Winners,Duración: 12 h y 5 m
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Duración: 24 h y 35 m
Kraken Mage,Robin Hutson,Duración: 10 h y 41 m
Fourth Wing,Rebecca Yarros,Duración: 21 h y 22 m
The Last Ship,Nicholas Sansbury Smith,Duración: 12 h y 41 m
The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Duración: 3 h y 40 m
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Duración: 22 h y 20 m
Penetration,Ingo Swann,Duración: 6 h y 22 m
Secrets of a Billionaire,Eva Winners,Duración: 10 h y 58 m
The Crown of Gilded Bones,Jennifer L. Armentrout,Duración: 25 h y 22 m
The Devil's Hand,Jack Carr,Duración: 14 h y 37 m
Carl's Doomsday Scenario,Matt Dinniman,Duración: 11 h y 28 m
Just My Luck,Lena Hendrix,Duración: 8 h y 29 m
Do Hard Things,Steve Magness,Duración: 8 h y 53 m
The Widow's Guide to Dead Bastards,Jessica Waite,Duración: 10 h y 58 m
I'm Glad My Mom Died,Jennette McCurdy,Duración: 6 h y 26 m
The Hunger Games: Special Edition,Suzanne Collins,Duración: 10 h y 35 m
The Serpent and the Wings of Night,Carissa Broadbent,Duración: 15 h y 4 m
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Duración: 9 h y 22 m
Curvy Girl Summer,Danielle Allen,Duración: 12 h y 23 m
Apples Dipped in Gold,Scarlett St. Clair,Duración: 5 h y 49 m
The Butcher's Masquerade,Matt Dinniman,Duración: 23 h y 33 m
The Value of Others,Orion Taraban,Duración: 12 h y 38 m
C. S. Lewis Essential Audio Library,C. S. Lewis,Duración: 38 h y 50 m
17 Years Later,J.P. Pomare,Duración: 10 h y 59 m
The Book of Elsewhere,"Keanu Reeves,China Miéville",Duración: 12 h y 1 m
Winning the War in Your Mind,Craig Groeschel,Duración: 4 h y 59 m
House of Flame and Shadow,Sarah J. Maas,Duración: 29 h y 42 m
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Duración: 13 h y 52 m
The Crown of Gilded Bones,Jennifer L. Armentrout,Duración: 25 h y 22 m
The Devil's Hand,Jack Carr,Duración: 14 h y 37 m
Carl's Doomsday Scenario,Matt Dinniman,Duración: 11 h y 28 m
Just My Luck,Lena Hendrix,Duración: 8 h y 29 m
Do Hard Things,Steve Magness,Duración: 8 h y 53 m
The Widow's Guide to Dead Bastards,Jessica Waite,Duración: 10 h y 58 m
I'm Glad My Mom Died,Jennette McCurdy,Duración: 6 h y 26 m
The Hunger Games: Special Edition,Suzanne Collins,Duración: 10 h y 35 m
The Serpent and the Wings of Night,Carissa Broadbent,Duración: 15 h y 4 m
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Duración: 9 h y 22 m
Curvy Girl Summer,Danielle Allen,Duración: 12 h y 23 m
Apples Dipped in Gold,Scarlett St. Clair,Duración: 5 h y 49 m
The Butcher's Masquerade,Matt Dinniman,Duración: 23 h y 33 m
The Value of Others,Orion Taraban,Duración: 12 h y 38 m
C. S. Lewis Essential Audio Library,C. S. Lewis,Duración: 38 h y 50 m
17 Years Later,J.P. Pomare,Duración: 10 h y 59 m
The Book of Elsewhere,"Keanu Reeves,China Miéville",Duración: 12 h y 1 m
Winning the War in Your Mind,Craig Groeschel,Duración: 4 h y 59 m
House of Flame and Shadow,Sarah J. Maas,Duración: 29 h y 42 m
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Duración: 13 h y 52 m
