title,Author,lenght
87. Never Split the Difference,De: Chris Voss,Duración: 8 h y 7 m
88. The Heaven & Earth Grocery Store,De: James McBride,Duración: 12 h y 21 m
89. He Who Fights with Monsters: A LitRPG Adventure,"De: Shirtaloon, Travis Deverell",Duración: 28 h y 56 m
90. Chaos,"De: Tom O'Neill, Dan Piepenbring",Duración: 16 h y 15 m
91. The Covenant of Water,De: Abraham Verghese,Duración: 31 h y 16 m
92. A Clash of Kings,De: George R.R. Martin,Duración: 37 h y 12 m
93. Loud,De: Drew Afualo,Duración: 6 h y 33 m
94. Iron Flame (Part 1 of 2) (Dramatized Adaptation),De: Rebecca Yarros,Duración: 11 h y 38 m
95. The Chronicles of Narnia Complete Audio Collection,De: C. S. Lewis,Duración: 33 h y 45 m
96. Dune,De: Frank Herbert,Duración: 21 h y 2 m
97. Extreme Ownership,"De: Jocko Willink, Leif Babin",Duración: 9 h y 33 m
98. Hábitos atómicos (Español neutro),De: James Clear,Duración: 9 h y 1 m
99. Never Lie,De: Freida McFadden,Duración: 7 h y 21 m
100. A Calamity of Souls,De: David Baldacci,Duración: 14 h y 28 m
